region_id	subset_cells	primary_include	strict_include	review_flagged	primary_pass_fraction	execution_mode	run_label	interpretation
Region_1	500	359	244	256	0.718	LOCAL_SUBSET	local_subset_validation	ENRICHED_VALIDATION_SUBSET_NOT_POPULATION_ESTIMATE
Region_2	500	353	250	250	0.706	LOCAL_SUBSET	local_subset_validation	ENRICHED_VALIDATION_SUBSET_NOT_POPULATION_ESTIMATE
Region_3	500	347	244	256	0.694	LOCAL_SUBSET	local_subset_validation	ENRICHED_VALIDATION_SUBSET_NOT_POPULATION_ESTIMATE
Region_4	500	356	264	236	0.712	LOCAL_SUBSET	local_subset_validation	ENRICHED_VALIDATION_SUBSET_NOT_POPULATION_ESTIMATE
Region_5	500	356	245	255	0.712	LOCAL_SUBSET	local_subset_validation	ENRICHED_VALIDATION_SUBSET_NOT_POPULATION_ESTIMATE
Region_6	500	349	272	228	0.698	LOCAL_SUBSET	local_subset_validation	ENRICHED_VALIDATION_SUBSET_NOT_POPULATION_ESTIMATE
